pattern_id,reps,type,p_base,e_base,p_abl,e_abl
0,1,random,0.0067488644272089005,4.801240921020508,0.00261652166955173,3.5257368087768555
0,1,induction,0.008875512517988682,3.836149215698242,0.20906472206115723,3.3457491397857666
0,2,random,0.004853672813624144,4.16010856628418,0.00030774460174143314,2.237985610961914
0,2,induction,0.005567754618823528,4.410017967224121,0.015725255012512207,1.622563362121582
0,4,random,0.00324832322075963,3.410961627960205,0.00015021006402093917,1.7651697397232056
0,4,induction,0.002805242547765374,1.5334504842758179,5.195703488425352e-05,0.3104625642299652
0,8,random,0.0018371680052950978,3.1347603797912598,0.00013387729995884,1.5911169052124023
0,8,induction,0.0003113317070528865,0.7381420135498047,1.0202411431237124e-06,0.0961698666214943
1,1,random,0.07775378227233887,4.14103889465332,0.0030080953147262335,3.2141754627227783
1,1,induction,0.12231000512838364,4.041810035705566,0.3373103141784668,1.6205239295959473
1,2,random,0.055811557918787,3.9720749855041504,0.005152992904186249,2.4851293563842773
1,2,induction,0.054620709270238876,3.0081839561462402,0.0056864856742322445,1.00338613986969
1,4,random,0.044860247522592545,3.6821935176849365,0.004683514125645161,2.296020030975342
1,4,induction,0.0076714553870260715,0.9887964725494385,1.0476226634636987e-05,0.23471514880657196
1,8,random,0.03244873508810997,3.576106071472168,0.0021979829762130976,1.8586853742599487
1,8,induction,0.004431824665516615,0.7949233055114746,4.618837010639254e-07,0.07798941433429718
2,1,random,0.003479990642517805,4.912715435028076,0.0003854488313663751,2.990213394165039
2,1,induction,0.014420674182474613,4.702884674072266,0.042819760739803314,4.158664703369141
2,2,random,0.002656188327819109,4.466976165771484,0.0003986842348240316,2.3690996170043945
2,2,induction,0.022844042629003525,6.666613578796387,0.06492135673761368,1.8940708637237549
2,4,random,0.0025509849656373262,3.9784750938415527,0.00040694751078262925,1.8836203813552856
2,4,induction,0.04847220331430435,2.1991488933563232,0.01386007945984602,0.4894399046897888
2,8,random,0.0019958983175456524,3.7775614261627197,0.00040450599044561386,1.5337258577346802
2,8,induction,0.027775773778557777,1.2079401016235352,2.568239506217651e-05,0.11764896661043167
